id;assignment_start;assignment_end;description;created_by;created_date;last_modified_by;last_modified_date;workstation_id;employee_id
1;2023-06-10;;;;;;;744;16
2;2023-06-10;;;;;;;8;86
6;2023-06-10;;;;;;;46;120
7;2023-06-10;;;;;;;44;120
8;2023-06-10;;;;;;;9;86
9;2023-06-10;;;;;;;10;86
10;2023-06-10;;;;;;;11;86
11;2023-06-10;;;;;;;8;142
14;2023-06-10;;;;;;;46;165
15;2023-06-10;;;;;;;35;189
16;2023-06-10;;;;;;;53;196
17;2023-06-10;;;;;;;54;196
18;2023-06-10;;;;;;;50;196
19;2023-06-10;;;;;;;55;196
20;2023-06-10;;;;;;;51;218
21;2023-06-10;;;;;;;42;218
22;2023-06-10;;;;;;;43;218
24;2023-06-10;;;;;;;12;226
25;2023-06-10;;;;;;;9;142
26;2023-06-10;;;;;;;10;142
27;2023-06-10;;;;;;;8;226
28;2023-06-10;;;;;;;9;226
29;2023-06-10;;;;;;;10;226
30;2023-06-10;;;;;;;11;226
31;2023-06-10;;;;;;;50;227
32;2023-06-10;;;;;;;53;231
33;2023-06-10;;;;;;;54;231
34;2023-06-10;;;;;;;25;231
35;2023-06-10;;;;;;;50;231
36;2023-06-10;;;;;;;55;231
37;2023-06-10;;;;;;;19;232
38;2023-06-10;;;;;;;20;232
39;2023-06-10;;;;;;;22;232
40;2023-06-10;;;;;;;23;232
41;2023-06-10;;;;;;;24;232
42;2023-06-10;;;;;;;25;232
43;2023-06-10;;;;;;;45;237
44;2023-06-10;;;;;;;47;237
45;2023-06-10;;;;;;;54;237
46;2023-06-10;;;;;;;55;237
47;2023-06-10;;;;;;;44;237
48;2023-06-10;;;;;;;21;241
49;2023-06-10;;;;;;;25;241
50;2023-06-10;;;;;;;25;241
51;2023-06-10;;;;;;;35;241
52;2023-06-10;;;;;;;15;242
53;2023-06-10;;;;;;;58;242
54;2023-06-10;;;;;;;19;242
55;2023-06-10;;;;;;;25;242
56;2023-06-10;;;;;;;13;242
57;2023-06-10;;;;;;;47;260
58;2023-06-10;;;;;;;22;260
59;2023-06-10;;;;;;;12;264
60;2023-06-10;;;;;;;44;288
61;2023-06-10;;;;;;;15;292
62;2023-06-10;;;;;;;59;292
63;2023-06-10;;;;;;;56;292
64;2023-06-10;;;;;;;59;292
65;2023-06-10;;;;;;;58;292
66;2023-06-10;;;;;;;13;292
67;2023-06-10;;;;;;;56;292
68;2023-06-10;;;;;;;15;294
69;2023-06-10;;;;;;;59;294
70;2023-06-10;;;;;;;59;294
71;2023-06-10;;;;;;;58;294
72;2023-06-10;;;;;;;58;304
73;2023-06-10;;;;;;;13;294
74;2023-06-10;;;;;;;58;344
75;2023-06-10;;;;;;;36;304
76;2023-06-10;;;;;;;15;304
77;2023-06-10;;;;;;;59;304
78;2023-06-10;;;;;;;59;304
79;2023-06-10;;;;;;;60;294
80;2023-06-10;;;;;;;60;304
81;2023-06-10;;;;;;;53;304
82;2023-06-10;;;;;;;54;304
83;2023-06-10;;;;;;;13;304
84;2023-06-10;;;;;;;37;304
85;2023-06-10;;;;;;;50;304
86;2023-06-10;;;;;;;60;465
87;2023-06-10;;;;;;;55;304
88;2023-06-10;;;;;;;52;304
89;2023-06-10;;;;;;;44;304
90;2023-06-10;;;;;;;38;304
91;2023-06-10;;;;;;;34;305
92;2023-06-10;;;;;;;20;305
93;2023-06-10;;;;;;;37;305
94;2023-06-10;;;;;;;61;305
95;2023-06-10;;;;;;;60;550
96;2023-06-10;;;;;;;38;305
97;2023-06-10;;;;;;;45;327
98;2023-06-10;;;;;;;53;327
99;2023-06-10;;;;;;;54;327
100;2023-06-10;;;;;;;55;327
101;2023-06-10;;;;;;;52;327
102;2023-06-10;;;;;;;30;330
103;2023-06-10;;;;;;;29;330
104;2023-06-10;;;;;;;36;333
105;2023-06-10;;;;;;;39;333
106;2023-06-10;;;;;;;26;341
107;2023-06-10;;;;;;;47;341
108;2023-06-10;;;;;;;53;341
109;2023-06-10;;;;;;;48;341
110;2023-06-10;;;;;;;50;341
111;2023-06-10;;;;;;;49;341
112;2023-06-10;;;;;;;55;341
113;2023-06-10;;;;;;;46;341
114;2023-06-10;;;;;;;26;344
115;2023-06-10;;;;;;;15;344
116;2023-06-10;;;;;;;60;551
117;2023-06-10;;;;;;;25;344
118;2023-06-10;;;;;;;13;344
119;2023-06-10;;;;;;;25;362
120;2023-06-10;;;;;;;13;362
121;2023-06-10;;;;;;;36;363
122;2023-06-10;;;;;;;37;363
123;2023-06-10;;;;;;;43;375
124;2023-06-10;;;;;;;41;375
125;2023-06-10;;;;;;;35;380
126;2023-06-10;;;;;;;36;381
127;2023-06-10;;;;;;;39;381
128;2023-06-10;;;;;;;37;381
129;2023-06-10;;;;;;;38;381
130;2023-06-10;;;;;;;51;393
131;2023-06-10;;;;;;;28;393
132;2023-06-10;;;;;;;46;393
133;2023-06-10;;;;;;;44;393
134;2023-06-10;;;;;;;36;417
135;2023-06-10;;;;;;;39;417
136;2023-06-10;;;;;;;37;417
137;2023-06-10;;;;;;;42;417
138;2023-06-10;;;;;;;43;417
139;2023-06-10;;;;;;;38;417
140;2023-06-10;;;;;;;16;436
141;2023-06-10;;;;;;;12;452
142;2023-06-10;;;;;;;60;553
143;2023-06-10;;;;;;;19;465
144;2023-06-10;;;;;;;22;465
145;2023-06-10;;;;;;;24;465
146;2023-06-10;;;;;;;25;465
147;2023-06-10;;;;;;;21;465
148;2023-06-10;;;;;;;21;465
149;2023-06-10;;;;;;;25;465
150;2023-06-10;;;;;;;8;467
151;2023-06-10;;;;;;;9;467
152;2023-06-10;;;;;;;10;467
153;2023-06-10;;;;;;;11;467
154;2023-06-10;;;;;;;47;492
155;2023-06-10;;;;;;;54;492
156;2023-06-10;;;;;;;48;492
157;2023-06-10;;;;;;;50;492
158;2023-06-10;;;;;;;49;492
159;2023-06-10;;;;;;;55;492
160;2023-06-10;;;;;;;52;492
161;2023-06-10;;;;;;;53;494
162;2023-06-10;;;;;;;54;494
163;2023-06-10;;;;;;;50;494
164;2023-06-10;;;;;;;52;494
165;2023-06-10;;;;;;;36;503
166;2023-06-10;;;;;;;39;503
167;2023-06-10;;;;;;;37;503
168;2023-06-10;;;;;;;40;503
169;2023-06-10;;;;;;;38;503
170;2023-06-10;;;;;;;36;520
171;2023-06-10;;;;;;;53;520
172;2023-06-10;;;;;;;54;520
173;2023-06-10;;;;;;;34;520
174;2023-06-10;;;;;;;39;520
175;2023-06-10;;;;;;;19;520
176;2023-06-10;;;;;;;20;520
177;2023-06-10;;;;;;;22;520
178;2023-06-10;;;;;;;23;520
179;2023-06-10;;;;;;;24;520
180;2023-06-10;;;;;;;13;520
181;2023-06-10;;;;;;;37;520
182;2023-06-10;;;;;;;61;520
183;2023-06-10;;;;;;;50;520
184;2023-06-10;;;;;;;33;520
185;2023-06-10;;;;;;;42;520
186;2023-06-10;;;;;;;43;520
187;2023-06-10;;;;;;;60;570
188;2023-06-10;;;;;;;40;520
189;2023-06-10;;;;;;;38;520
190;2023-06-10;;;;;;;36;521
191;2023-06-10;;;;;;;38;521
192;2023-06-10;;;;;;;34;522
193;2023-06-10;;;;;;;19;522
194;2023-06-10;;;;;;;20;522
195;2023-06-10;;;;;;;22;522
196;2023-06-10;;;;;;;23;522
197;2023-06-10;;;;;;;24;522
198;2023-06-10;;;;;;;25;522
199;2023-06-10;;;;;;;14;522
200;2023-06-10;;;;;;;17;522
201;2023-06-10;;;;;;;61;522
202;2023-06-10;;;;;;;25;522
203;2023-06-10;;;;;;;33;522
204;2023-06-10;;;;;;;60;902
205;2023-06-10;;;;;;;36;526
206;2023-06-10;;;;;;;47;526
207;2023-06-10;;;;;;;51;526
208;2023-06-10;;;;;;;28;526
