id;status;start_date;expected_end_date;end_date;validated;created_by;created_date;last_modified_by;last_modified_date;assignment_id;level_id
1;Completed;2020-12-12;2020-12-12;2021-12-12;true;;;;;1;184
2;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;2;746
6;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;6;784
7;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;7;782
8;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;8;747
9;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;9;748
10;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;10;749
11;Completed;2020-12-12;2020-12-12;2021-12-01;true;;;;;11;8
14;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;14;784
15;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;15;773
16;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;16;791
17;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;17;792
18;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;18;788
19;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;19;793
20;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;20;789
21;Completed;2020-12-12;2020-12-12;2022-01-07;true;;;;;21;780
22;Completed;2020-12-12;2020-12-12;2022-01-07;true;;;;;22;781
24;Completed;2020-12-12;2020-12-12;2021-05-12;true;;;;;24;12
25;Completed;2020-12-12;2020-12-12;2021-12-01;true;;;;;25;9
26;Completed;2020-12-12;2020-12-12;2021-12-01;true;;;;;26;10
27;Completed;2020-12-12;2020-12-12;2021-05-27;true;;;;;27;746
28;Completed;2020-12-12;2020-12-12;2021-05-27;true;;;;;28;747
29;Completed;2020-12-12;2020-12-12;2021-05-27;true;;;;;29;748
30;Completed;2020-12-12;2020-12-12;2021-05-27;true;;;;;30;749
31;Completed;2020-12-12;2020-12-12;2021-10-22;true;;;;;31;50
32;Completed;2020-12-12;2020-12-12;2021-12-30;true;;;;;32;791
33;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;33;792
34;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;34;763
35;Completed;2020-12-12;2020-12-12;2022-04-30;true;;;;;35;788
36;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;36;793
37;Completed;2020-12-12;2020-12-12;2022-02-15;true;;;;;37;836
38;Completed;2020-12-12;2020-12-12;2022-02-15;true;;;;;38;837
39;Completed;2020-12-12;2020-12-12;2022-02-15;true;;;;;39;838
40;Completed;2020-12-12;2020-12-12;2022-02-15;true;;;;;40;839
41;Completed;2020-12-12;2020-12-12;2022-02-15;true;;;;;41;840
42;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;42;763
43;Completed;2020-12-12;2020-12-12;2022-03-07;true;;;;;43;783
44;Completed;2020-12-12;2020-12-12;2022-02-15;true;;;;;44;785
45;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;45;792
46;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;46;793
47;Completed;2020-12-12;2020-12-12;2022-04-06;true;;;;;47;782
48;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;48;770
49;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;49;769
50;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;50;763
51;Completed;2020-12-12;2020-12-12;2022-03-30;true;;;;;51;773
52;Completed;2020-12-12;2020-12-12;2022-08-10;true;;;;;52;753
53;Completed;2020-12-12;2020-12-12;2022-07-20;true;;;;;53;58
54;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;54;836
55;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;55;769
56;Completed;2020-12-12;2020-12-12;2022-08-26;true;;;;;56;946
57;Completed;2020-12-12;2020-12-12;2021-12-17;true;;;;;57;785
58;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;58;838
59;Completed;2020-12-12;2020-12-12;2021-12-31;true;;;;;59;750
60;Completed;2020-12-12;2020-12-12;2022-10-12;true;;;;;60;782
61;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;61;753
62;Completed;2020-12-12;2020-12-12;2022-02-28;true;;;;;62;797
63;Completed;2020-12-12;2020-12-12;2022-02-07;true;;;;;63;56
64;Completed;2020-12-12;2020-12-12;2022-02-07;true;;;;;64;59
65;Completed;2020-12-12;2020-12-12;2021-10-26;true;;;;;65;58
66;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;66;946
67;Completed;2020-12-12;2020-12-12;2022-02-28;true;;;;;67;794
68;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;68;753
69;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;69;797
70;Completed;2020-12-12;2020-12-12;2021-11-19;true;;;;;70;59
71;Completed;2020-12-12;2020-12-12;2021-09-20;true;;;;;71;58
72;Completed;2020-12-12;2020-12-12;2020-09-15;true;;;;;72;58
73;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;73;946
74;Completed;2020-12-12;2020-12-12;2022-07-15;true;;;;;74;58
75;Completed;2020-12-12;2020-12-12;2022-12-16;true;;;;;75;774
76;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;76;753
77;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;77;797
78;Completed;2020-12-12;2020-12-12;2021-06-18;true;;;;;78;59
79;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;79;798
80;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;80;798
81;Completed;2020-12-12;2020-12-12;2020-09-15;true;;;;;81;53
82;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;82;792
83;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;83;946
84;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;84;957
85;Completed;2020-12-12;2020-12-12;2020-09-15;true;;;;;85;50
86;Completed;2020-12-12;2020-12-12;2022-05-04;true;;;;;86;798
87;Completed;2020-12-12;2020-12-12;2020-09-15;true;;;;;87;55
88;Completed;2020-12-12;2020-12-12;2020-09-15;true;;;;;88;239
89;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;89;782
90;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;90;776
91;Completed;2020-12-12;2020-12-12;2022-04-28;true;;;;;91;772
92;Completed;2020-12-12;2020-12-12;2022-03-21;true;;;;;92;837
93;Completed;2020-12-12;2020-12-12;2022-07-20;true;;;;;93;219
94;Completed;2020-12-12;2020-12-12;2022-04-28;true;;;;;94;799
95;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;95;798
96;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;96;776
97;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;97;783
98;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;98;791
99;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;99;792
100;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;100;793
101;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;101;977
102;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;102;768
103;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;103;767
104;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;104;774
105;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;105;922
106;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;106;764
107;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;107;785
108;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;108;791
109;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;109;786
110;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;110;788
111;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;111;787
112;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;112;793
113;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;113;784
114;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;114;764
115;Completed;2020-12-12;2020-12-12;2022-07-15;true;;;;;115;15
116;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;116;798
117;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;117;769
118;Completed;2020-12-12;2020-12-12;2022-07-12;true;;;;;118;946
119;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;119;769
120;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;120;946
121;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;121;774
122;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;122;957
123;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;123;781
124;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;124;779
125;Completed;2020-12-12;2020-12-12;2023-03-06;true;;;;;125;35
126;Completed;2020-12-12;2020-12-12;2022-01-02;true;;;;;126;774
127;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;127;922
128;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;128;957
129;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;129;776
130;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;130;789
131;Completed;2020-12-12;2020-12-12;2022-03-03;true;;;;;131;766
132;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;132;784
133;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;133;782
134;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;134;774
135;Completed;2020-12-12;2020-12-12;2021-12-17;true;;;;;135;922
136;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;136;957
137;Completed;2020-12-12;2020-12-12;2022-03-21;true;;;;;137;780
138;Completed;2020-12-12;2020-12-12;2022-03-21;true;;;;;138;781
139;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;139;776
140;Completed;2020-12-12;2020-12-12;2023-03-22;true;;;;;140;754
141;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;141;750
142;Completed;2020-12-12;2020-12-12;2022-07-26;true;;;;;142;60
143;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;143;836
144;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;144;838
145;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;145;840
146;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;146;769
147;Completed;2020-12-12;2020-12-12;2023-03-27;true;;;;;147;32
148;Completed;2020-12-12;2020-12-12;2022-03-04;true;;;;;148;759
149;Completed;2020-12-12;2020-12-12;2022-03-04;true;;;;;149;763
150;Completed;2020-12-12;2020-12-12;2021-05-06;true;;;;;150;8
151;Completed;2020-12-12;2020-12-12;2021-05-06;true;;;;;151;9
152;Completed;2020-12-12;2020-12-12;2021-05-06;true;;;;;152;10
153;Completed;2020-12-12;2020-12-12;2021-05-06;true;;;;;153;11
154;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;154;785
155;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;155;792
156;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;156;786
157;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;157;788
158;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;158;787
159;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;159;793
160;Completed;2020-12-12;2020-12-12;2022-02-08;true;;;;;160;977
161;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;161;791
162;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;162;792
163;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;163;788
164;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;164;977
165;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;165;774
166;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;166;922
167;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;167;957
168;Completed;2020-12-12;2020-12-12;2022-02-07;true;;;;;168;778
169;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;169;776
170;Completed;2020-12-12;2020-12-12;2022-06-04;true;;;;;170;774
171;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;171;791
172;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;172;792
173;Completed;2020-12-12;2020-12-12;2022-04-06;true;;;;;173;772
174;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;174;922
175;Completed;2020-12-12;2020-12-12;2022-04-20;true;;;;;175;3788
176;Completed;2020-12-12;2020-12-12;2022-04-20;true;;;;;176;3789
177;Completed;2020-12-12;2020-12-12;2022-04-20;true;;;;;177;3790
178;Completed;2020-12-12;2020-12-12;2022-04-20;true;;;;;178;3791
179;Completed;2020-12-12;2020-12-12;2022-04-20;true;;;;;179;3792
180;Completed;2020-12-12;2020-12-12;2022-06-21;true;;;;;180;208
181;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;181;219
182;Completed;2020-12-12;2020-12-12;2022-04-06;true;;;;;182;799
183;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;183;788
184;Completed;2020-12-12;2020-12-12;2022-03-16;true;;;;;184;33
185;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;185;780
186;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;186;781
187;Completed;2020-12-12;2020-12-12;2022-05-04;true;;;;;187;798
188;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;188;778
189;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;189;38
190;Completed;2020-12-12;2020-12-12;2021-12-30;true;;;;;190;774
191;Completed;2020-12-12;2020-12-12;2021-12-16;true;;;;;191;776
192;Completed;2020-12-12;2020-12-12;2022-04-09;true;;;;;192;772
