id;level;order_number;training_duration;recycling_period;process_id;checklist_model_id
1;B;1;P2W;P1W;1;10
2;B;1;P2W;P1W;2;10
3;B;1;P4W;P1W;3;10
4;B;1;P4W;P1W;4;10
5;B;1;P5W;P1W;5;10
6;B;1;P5W;P1W;6;10
7;B;1;P4W;P1W;7;10
8;B;1;P3W;P1W;8;10
9;B;1;P3W;P1W;9;10
10;B;1;P3W;P1W;10;10
11;B;1;P3W;P1W;11;10
12;B;1;P4W;P1W;12;10
13;B;1;P2W;P1W;13;10
14;B;1;P4W;P1W;14;10
15;B;1;P4W;P1W;15;10
16;B;1;P4W;P1W;16;10
17;B;1;P4W;P1W;17;10
18;B;1;P2W;P1W;18;10
19;B;1;P2W;P1W;19;10
20;B;1;P3W;P1W;20;10
21;B;1;P2W;P1W;21;10
22;B;1;P3W;P1W;22;10
23;B;1;P4W;P1W;23;10
24;B;1;P4W;P1W;24;10
25;B;1;P2W;P1W;25;10
26;B;1;P4W;P1W;26;10
27;B;1;P4W;P1W;27;10
28;B;1;P4W;P1W;28;10
29;B;1;P5W;P1W;29;10
30;B;1;P5W;P1W;30;10
31;B;1;P2W;P1W;31;10
32;B;1;P2W;P1W;32;10
33;B;1;P2W;P1W;33;10
34;B;1;P5W;P1W;34;10
35;B;1;P2W;P1W;35;10
36;B;1;P2W;P1W;36;10
37;B;1;P3W;P1W;37;10
38;B;1;P4W;P1W;38;10
39;B;1;P5W;P1W;39;10
40;B;1;P5W;P1W;40;10
41;B;1;P2W;P1W;41;10
42;B;1;P5W;P1W;42;10
43;B;1;P5W;P1W;43;10
44;B;1;P5W;P1W;44;10
45;B;1;P2W;P1W;45;10
46;B;1;P2W;P1W;46;10
47;B;1;P2W;P1W;47;10
48;B;1;P2W;P1W;48;10
49;B;1;P2W;P1W;49;10
50;B;1;P2W;P1W;50;10
51;B;1;P5W;P1W;51;10
52;B;1;P4W;P1W;52;10
53;B;1;P2W;P1W;53;10
54;B;1;P2W;P1W;54;10
55;B;1;P2W;P1W;55;10
56;B;1;P4W;P1W;56;10
57;B;1;P2W;P1W;57;10
58;B;1;P4W;P1W;58;10
59;B;1;P4W;P1W;59;10
60;B;1;P4W;P1W;60;10
61;B;1;P5W;P1W;61;10
62;B;1;P2W;P1W;62;10
63;B;1;P99W;P1W;63;10
64;B;1;P99W;P1W;64;10
65;B;1;P99W;P1W;65;10
66;B;1;P5W;P1W;66;10
67;B;1;P4W;P1W;67;10
68;B;1;P99W;P1W;68;10
69;B;1;P4W;P1W;69;10
70;B;1;P99W;P1W;70;10
71;B;1;P2W;P1W;71;10
72;B;1;P99W;P1W;72;10
73;B;1;P99W;P1W;73;10
74;B;1;P99W;P1W;74;10
75;B;1;P4W;P1W;75;10
76;B;1;P99W;P1W;76;10
77;B;1;P99W;P1W;77;10
78;B;1;P4W;P1W;78;10
79;B;1;P99W;P1W;79;10
80;B;1;P2W;P1W;80;10
81;B;1;P1W;P1W;81;10
82;B;1;P99W;P1W;82;10
83;B;1;P99W;P1W;83;10
84;B;1;P1W;P1W;84;10
85;B;1;P2W;P1W;85;10
86;B;1;P99W;P1W;86;10
87;B;1;P99W;P1W;87;10
88;B;1;P99W;P1W;88;10
89;B;1;P1W;P1W;89;10
90;B;1;P99W;P1W;90;10
91;B;1;P99W;P1W;91;10
92;B;1;P99W;P1W;92;10
93;B;1;P5W;P1W;93;10
94;B;1;P4W;P1W;94;10
95;B;1;P99W;P1W;95;10
96;B;1;P99W;P1W;96;10
97;B;1;P99W;P1W;97;10
98;B;1;P4W;P1W;98;10
99;B;1;P99W;P1W;99;10
100;B;1;P2W;P1W;100;10
101;B;1;P1W;P1W;101;10
102;B;1;P99W;P1W;102;10
103;B;1;P2W;P1W;103;10
104;B;1;P2W;P1W;104;10
105;B;1;P99W;P1W;105;10
106;B;1;P99W;P1W;106;10
107;B;1;P4W;P1W;107;10
108;B;1;P99W;P1W;108;10
109;B;1;P2W;P1W;109;10
110;B;1;P99W;P1W;110;10
