id;text;item_group;validator;created_by;created_date;last_modified_by;last_modified_date;checklist_model_id
1;Sait-il quels équipements ou outils il doit utiliser;Mode opératoire (Engineering) ;ROLE_PROCESS_STAFF;;;;;1
2;Sait-il comment les utiliser;Mode opératoire (Engineering);ROLE_PROCESS_STAFF;;;;;1
3;Connaît-il la procédure de mise en Marche;Mode opératoire (Engineering);ROLE_PROCESS_STAFF;;;;;1
4;Sait-il introduire les données correspondantes;Mode opératoire (Engineering);ROLE_PROCESS_STAFF;;;;;1
5;Sait-il interpréter les informations qui apparaissent sur l’écran;Mode opératoire (Engineering);ROLE_PROCESS_STAFF;;;;;1
6;Connait-il les règles de Handling (composants, produits semi finis);Mode opératoire (Engineering);ROLE_PROCESS_STAFF;;;;;1
7;Connaît-il les règles de ESD;Mode opératoire (Engineering);ROLE_PROCESS_STAFF;;;;;1
8;Effectue-t-il correctement toutes les opérations de fabrication;Processus de Fabrication (Engineering);ROLE_PROCESS_STAFF;;;;;1
9;Sait-il quels sont les paramètres d’INPUT/OUTPUT;Processus de Fabrication (Engineering);ROLE_PROCESS_STAFF;;;;;1
10;Sait-il les autocontrôles à effectuer avant /après;Enregistrement / Autocontrôle (Qualité);ROLE_QUALITY_STAFF;;;;;1
11;Sait-il les enregistrements à effectuer et avec quelle fréquence;Enregistrement / Autocontrôle (Qualité);ROLE_QUALITY_STAFF;;;;;1
12;Le remplissage instruction d’auto contrôle;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
13;La validation de la première palette;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
14;Vérification aspect + référence Bobine;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
15;Réalisation MPN;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
16;Rangement bobine sur les supports adéquats;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
17;Assurer le fonctionnement des enrouleurs papier et informer en cas de panne;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
18;Assurer que les flasques sont montées correctement afin de fixer les bobines;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
19;Chargement Programme;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
20;Codification palette selon doc nécessaire;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
21;Traitement des rejets;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
22;Identification palette après intervention;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
23;Vider la tête après chaque basculement;Les points à vérifier (Qualité);ROLE_QUALITY_STAFF;;;;;1
24;Connait-il les éléments de sécurité de son poste;Sécurité et Environnement (HSE);ROLE_HSE_STAFF;;;;;1
25;Sait-il les points à contrôler et avec quelle fréquence;Sécurité et Environnement (HSE);ROLE_HSE_STAFF;;;;;1
26;Sait-il que doit-il faire si un équipement de sécurité ne fonctionne pas;Sécurité et Environnement (HSE);ROLE_HSE_STAFF;;;;;1
27;Connaît-il les mesures de protection et de sécurité à prendre pour éviter les risques d’accidents;Sécurité et Environnement (HSE);ROLE_HSE_STAFF;;;;;1
28;Respecte-il les règles de séparation des déchets (déchet chimique, carton, …);Sécurité et Environnement (HSE);ROLE_HSE_STAFF;;;;;1
29;Sait-il qu’il ne faut pas jeter des déchets ou des produits chimiques dans les réseaux d’eau;Sécurité et Environnement (HSE);ROLE_HSE_STAFF;;;;;1
30;En cas de certification, est ce que la matrice de polyvalence a été mis à jour;Matrice de polyvalence (RH);ROLE_HR_STAFF;;;;;1
31;Effectue-t-il correctement toutes les opérations de fabrication;Processus de Fabrication : (Manufacturing);ROLE_PRODUCTION_STAFF;;;;;2
32;L’opérateur respecte l’objectif de production (Cycle Time);Processus de Fabrication : (Manufacturing);ROLE_PRODUCTION_STAFF;;;;;2
33;L’opération est effectuée avec le respect de standard de la qualité;Processus de contrôle qualité (Qualité);ROLE_QUALITY_STAFF;;;;;2
34;Le traitement de non-conformité est effectué correctement;Processus de contrôle qualité (Qualité);ROLE_QUALITY_STAFF;;;;;2
35;En cas de certification, est ce que la matrice de polyvalence a été mis à jour;Matrice de polyvalence (RH);ROLE_HR_STAFF;;;;;2
36;Non-respect des procédures (instructions de travail/autocontrôle,maintenance premier niveau...);Qualité;ROLE_QUALITY_STAFF;;;;;3
37;Non-remplissage des enregistrements (check-list démarrage,Maintenance premier niveau...);Qualité;ROLE_QUALITY_STAFF;;;;;3
38;Non-respect des règles de réaction et d'escalade;Qualité;ROLE_QUALITY_STAFF;;;;;3
39;Remplissage erroné intentionnel des enregistrements;Qualité;ROLE_QUALITY_STAFF;;;;;3
40;Non-respect du traitement des non-conformités (Pièces NOK poussée,Pièce NOK non isolée, pièces NOK mélangé avec des pièces OK...);Qualité;ROLE_QUALITY_STAFF;;;;;3
41;Réparation clandestine (non-autorisée);Qualité;ROLE_QUALITY_STAFF;;;;;3
42;Non-respect des procédures des réparation;Qualité;ROLE_QUALITY_STAFF;;;;;3
43;Désactivation intentionnel d’un détrompeur (Poka Yoke);Qualité;ROLE_QUALITY_STAFF;;;;;3
44;Non-port ou application erronée des EPIs;Qualité;ROLE_QUALITY_STAFF;;;;;3
45;En cas de dé-certification, est ce que la matrice de polyvalence a été mis à jour;Matrice de polyvalence (RH);ROLE_HR_STAFF;;;;;3
46;Sait-il quels équipements ou outils il doit utiliser;Mode opératoire (Qualité);ROLE_QUALITY_STAFF;;;;;4
47;Sait-il comment les utiliser;Mode opératoire (Qualité);ROLE_QUALITY_STAFF;;;;;4
48;Connaît-il la procédure de mise en Marche;Mode opératoire (Qualité);ROLE_QUALITY_STAFF;;;;;4
49;Sait-il introduire les données correspondantes;Mode opératoire (Qualité);ROLE_QUALITY_STAFF;;;;;4
50;Sait-il interpréter les informations qui apparaissent sur l’écran;Mode opératoire (Qualité) ;ROLE_QUALITY_STAFF;;;;;4
51;Connait-il les règles de Handling (composants, produits semi finis);Mode opératoire (Qualité) ;ROLE_QUALITY_STAFF;;;;;4
52;Connaît-il les règles de ESD;Mode opératoire (Qualité) ;ROLE_QUALITY_STAFF;;;;;4
53;Effectue-t-il correctement toutes les opérations de fabrication;Processus de Fabrication (Qualité);ROLE_QUALITY_STAFF;;;;;4
54;Sait-il quels sont les paramètres d’INPUT/OUTPUT;Processus de Fabrication (Qualité);ROLE_QUALITY_STAFF;;;;;4
55;Sait-il quels sont les points critiques du poste;Processus de Fabrication (Qualité);ROLE_QUALITY_STAFF;;;;;4
56;Sait-il quels sont les alertes ou les rejets au niveau de son poste et les actions à entreprendre;Traitement des non-conformités (Qualité) ;ROLE_QUALITY_STAFF;;;;;4
57;Connaît-il la procédure d’identification et traitement du produit non-conforme;Traitement des non-conformités (Qualité) ;ROLE_QUALITY_STAFF;;;;;4
