id;start_date;end_date;user_name;device_id;license_terms;signature
1;2021-10-09;2021-10-10;Ruble bypass;Colorado cultivate program;copying Island;task-force
2;2021-10-10;2021-10-10;system-worthy;granular Rustic;B2B initiatives;Account collaborative calculating
3;2021-10-10;2021-10-10;focus Robust experiences;context-sensitive;purposes generating improvement;RSS
4;2021-10-10;2021-10-10;deposit;Salad Industrial;instruction ubiquitous;Caicos Sleek
5;2021-10-10;2021-10-10;panel Customer;Brazilian calculate;Cambridgeshire Fantastic mobile;regional
6;2021-10-10;2021-10-09;yellow clear-thinking;Botswana plum;mindshare Product Credit;engineer PNG sticky
7;2021-10-10;2021-10-10;synthesize optimize maximized;Quality;Product Identity synthesize;Costa Chips Developer
8;2021-10-10;2021-10-09;input optical;Cheese;Regional up Open-architected;Metal generate Utah
9;2021-10-10;2021-10-10;Brazil;Consultant;Handmade;Account Loan Fresh
10;2021-10-10;2021-10-10;revolutionary;protocol Generic;Zambian bricks-and-clicks;transmit vortals
