id;name;customer;safety;qualification_after;decertify_after
1;Cordset;Daimler;FALSE;P18W;P6M
2;CMF1;Renault;FALSE;P18W;P6M
3;C1A;Renault;FALSE;P18W;P6M
4;JLR L663;Jaguar;FALSE;P18W;P6M
5;JLR OMM;Jaguar;FALSE;P18W;P6M
6;MQB;Jaguar Land Rover;FALSE;P18W;P6M
7;Ford PDB;Ford;FALSE;P18W;P6M
8;Ford HCM;Ford;FALSE;P18W;P6M
9;SBOX;BMW;TRUE;P12W;P6M
10;PL3;BMW;FALSE;P18W;P6M
11;PL7;BMW;FALSE;P18W;P6M
12;Star2 BR222;Daimler;FALSE;P18W;P6M
13;Star2 BR213;Daimler;FALSE;P18W;P6M
14;USM2010;Renault;FALSE;P18W;P6M
15;Volvo Trucks;VOLVO;TRUE;P12W;P6M
16;X-10;Renault;TRUE;P12W;P6M
17;VOLVO OBC;VOLVO;FALSE;P18W;P6M
18;VOLVO DCDC;VOLVO;FALSE;P18W;P6M
19;PSA PDU;PSA;FALSE;P18W;P6M
20;VCU1/VCU1+;VOLVO;FALSE;P18W;P6M
21;VOLVO OFM;VOLVO;FALSE;P18W;P6M
22; VOLVO HCM GEN2;VOLVO;FALSE;P18W;P6M
23; VOLVO HCM GEN3;VOLVO;FALSE;P18W;P6M
24;JLR GCM;Jaguar;FALSE;P18W;P6M
25;Ford SDLC;Ford;FALSE;P18W;P6M
26;HLI PXL ;Mercedes;FALSE;P18W;P6M
27;Ferrari ASM;Ferrari;FALSE;P18W;P6M
28;JLR ADC ESSM;Jaguar;FALSE;P18W;P6M
29;JLR ADC HEM;Jaguar;FALSE;P18W;P6M
30;JLR ADC HSPM;Jaguar;FALSE;P18W;P6M
31;JLR ADC HSAM;Jaguar;FALSE;P18W;P6M
32;JLR ADC IM ;Jaguar;FALSE;P18W;P6M
33;JLR ACM HRM;Jaguar;FALSE;P18W;P6M
34;JLR ADC LITE;Jaguar;FALSE;P18W;P6M
35;JLR ADC M14;Jaguar;FALSE;P18W;P6M
36;JLR ADC M4;Jaguar;FALSE;P18W;P6M
37;JLR ADC M8;Jaguar;FALSE;P18W;P6M
38;JLR ADC MM;Jaguar;FALSE;P18W;P6M
39;JLR ADC M14 RE-DESIGN;Jaguar;FALSE;P18W;P6M
