id;name;order_number;area_id;process_id
1;Lazer;Lazer;1;1;1
2;DEK;DEK;2;1;2
3;Cyber-Optics;Cyber-Optics;3;1;3
4;Insertion Automatique ;Insertion Automatique ;4;1;4
5;P&P Panasonic;P&P Panasonic;5;1;5
6;Reflow;Reflow;6;1;6
7;AOI OMRON;AOI OMRON;7;1;7
8;Insertion Manuel 1;Insertion Manuel 1;1;2;8
9;Insertion Manuel 2;Insertion Manuel 2;2;2;9
10;Insertion Manuel 3;Insertion Manuel 3;3;2;10
11;Insertion Manuel 4;Insertion Manuel 4;4;2;11
12;AOI Modus;AOI Modus;5;2;12
13;ICT test;ICT test;6;2;13
14;Lens Gluing;Lens Gluing;1;3;14
15;Coating;Coating;7;2;15
16;Handle Cutting;Handle Cutting;1;4;16
17;Lens Welding;Lens Welding;2;3;17
18;Plasma Teatement;Plasma Teatement;3;3;18
19;ASSEMBLAGE 1 Cordset;ASSEMBLAGE 1 Cordset;4;3;19
20;ASSEMBLAGE 2 Cordset;ASSEMBLAGE 2 Cordset;5;3;20
21;Pre-Leak Test;Pre-Leak Test;6;3;21
22;ASSEMBLAGE 3 Cordset;ASSEMBLAGE 3 Cordset;7;3;22
23;ASSEMBLAGE 4 Cordset;ASSEMBLAGE 4 Cordset;8;3;23
24;ASSEMBLAGE 5 Cordset;ASSEMBLAGE 5 Cordset;9;3;24
25;Pre-FKT;Pre-FKT;10;3;25
26;AC cutting;AC cutting;2;4;26
27;Logo Gluing ;Logo Gluing ;11;3;27
28;Jumper Cutting;Jumper Cutting;3;4;28
29;vibration welding;vibration welding;12;3;29
30;End Cup Injection;End Cup Injection;13;3;30
31;FKT;FKT;14;3;31
32;Leak Test;Leak Test;15;3;32
33;Q-Gate;Q-Gate;16;3;33
34;Accessories Inspection;Accessories Inspection;17;3;34
35;End Cup Preparation;End Cup Preparation;4;4;35
36;Accessories Assembly;Accessories Assembly;5;4;36
37;Midstripp;Midstripp;6;4;37
38;Uni stripping;Uni stripping;7;4;38
39;Crimping ;Crimping ;8;4;39
40;spot soldering;spot soldering;9;4;40
41;Shrink Preparation;Shrink Preparation;10;4;41
42;RT US welding 1;RT US welding 1;11;4;42
43;RT US welding 2;RT US welding 2;12;4;43
44;Splicing;Splicing;13;4;44
45;Cold melt application;Cold melt application;14;4;45
46;Shrinking;Shrinking;15;4;46
47;Connector assembly;Connector assembly;16;4;47
48;LATCH Assembly;LATCH Assembly;17;4;48
49;SHELLS Assembly;SHELLS Assembly;18;4;49
50;Preliminary electrical test ( handle + AC );Preliminary electrical test ( handle + AC );19;4;50
51;Handle Injection;Handle Injection;20;4;51
52;Soft Grip Gluing ;Soft Grip Gluing ;21;4;52
53;Final Handle electrical + HiPot test;Final Handle electrical + HiPot test;22;4;53
54;Handle Leak Test;Handle Leak Test;23;4;54
55;Shipping to Final Assembly;Shipping to Final Assembly;24;4;55
56;RTV;RTV;9;2;56
57;Shipping Client;Shipping Client;19;3;57
58;Control Coating;Control Coating;8;2;58
59;Control RTV;Control RTV;10;2;59
60;Rooter;Rooter;11;2;60
61;Packaging;Packaging;18;3;61
62;Lazer ;Lazer ;1;5;62
63;Serigraphie DEK;Serigraphie DEK;2;5;63
64;Cyber-Optics;Cyber-Optics;3;5;3
65;P&P Panasonic;P&P Panasonic;4;5;5
66;Reflow;Reflow;5;5;6
67;AOI 2D;AOI 2D;6;5;64
68;ICT test;ICT test;7;5;13
69;Rooter;Rooter;8;5;60
70;Shipping Client;Shipping Client;9;5;57
71;Universal;Universal;1;6;65
72;Insertion Automatique ;Insertion Automatique ;2;6;4
73;Depaneling;Depaneling;3;6;66
74;Insertion Manuelle;Insertion Manuelle;4;6;67
75;AOI OMRON;AOI OMRON;8;6;7
76;ICT test;ICT test;9;6;13
77;PRESS-FIT;PRESS-FIT;10;6;68
78;OMRON;OMRON;11;6;69
79;VERNISSAGE;VERNISSAGE;12;6;70
80;Cover Assy ;Cover Assy ;13;6;71
81;Manual Fuse Insertion;Manual Fuse Insertion;14;6;72
82;Shipping Client;Shipping Client;15;6;57
83;Control Firewall;Control Firewall;16;6;73
84;Preparation Cambrage;Preparation Cambrage;17;6;74
85;Lazer Marking;Lazer Marking;1;7;75
86;Serigraphie DEK;Serigraphie DEK;2;7;63
87;Cyber-Optics;Cyber-Optics;3;7;3
88;THT Automatic insertion;THT Automatic insertion;4;7;76
89;Preparation Cambrage;Preparation Cambrage;5;7;74
90;P&P Panasonic;P&P Panasonic;6;7;5
91;P&P Yamaha;P&P Yamaha;7;7;77
92;Insertion Manuelle Diode ;Insertion Manuelle Diode ;8;7;78
93;Reflow;Reflow;9;7;6
94;AOI OMRON;AOI OMRON;10;7;7
95;PRESS-FIT;PRESS-FIT;1;8;68
96;Control Firewall;Control Firewall;2;8;73
97;ICT test;ICT test;3;8;13
98;Rooter;Rooter;4;8;60
99;VERNISSAGE;VERNISSAGE;5;8;70
100;Cover Assy ;Cover Assy ;7;8;71
101;Manual Fuse Insertion;Manual Fuse Insertion;8;8;72
102;Shipping Client;Shipping Client;10;8;57
103;power;power;11;8;79
104;Universal;Universal;1;9;65
105;Insertion Automatique ;Insertion Automatique ;2;9;4
106;Insertion Manuelle;Insertion Manuelle;3;9;67
107;AOI OMRON;AOI OMRON;5;9;7
108;Depaneling;Depaneling;6;9;66
109;Cover Assy ;Cover Assy ;7;9;71
110;TEST SANDWISH;TEST SANDWISH;8;9;80
111;Manual Fuse Insertion;Manual Fuse Insertion;9;9;72
112;FKT;FKT;10;9;31
113;Lazer;Lazer;1;10;1
114;Serigraphie DEK;Serigraphie DEK;2;10;63
115;Cyber-Optics;Cyber-Optics;3;10;3
116;Insertion Manuelle;Insertion Manuelle;4;10;67
117;P&P Panasonic;P&P Panasonic;5;10;5
118;Reflow;Reflow;6;10;6
119;AOI MODUS;AOI MODUS;7;10;12
120;ICT test;ICT test;8;10;13
121;Coating;Coating;9;10;15
122;Control Coating;Control Coating;10;10;58
123;X-RAY;X-RAY;11;10;81
124;PRESS-FIT;PRESS-FIT;12;10;68
125;Depaneling;Depaneling;13;10;66
126;Houssing;Houssing;14;10;82
127;Climatic Chamber;Climatic Chamber;15;10;83
128;FKT;FKT;16;10;31
129;Labeling;Labeling;17;10;84
130;Shipping Client;Shipping Client;18;10;57
131;Reflash;Reflash;19;10;85
132;Lazer;Lazer;1;11;1
133;Serigraphie DEK;Serigraphie DEK;2;11;63
134;Cyber-Optics;Cyber-Optics;3;11;3
135;Insertion Manuelle;Insertion Manuelle;4;11;67
136;P&P Panasonic;P&P Panasonic;5;11;5
137;Reflow;Reflow;6;11;6
138;AOI MODUS;AOI MODUS;7;11;12
139;ICT test;ICT test;8;11;13
140;Coating;Coating;9;11;15
141;Control Coating;Control Coating;10;11;58
142;X-RAY;X-RAY;11;11;81
143;PRESS-FIT;PRESS-FIT;12;11;68
144;Depaneling;Depaneling;13;11;66
145;Houssing;Houssing;14;11;82
146;Climatic Chamber;Climatic Chamber;15;11;83
147;FKT;FKT;16;11;31
148;Labeling;Labeling;17;11;84
149;Shipping Client;Shipping Client;18;11;57
150;Reflash;Reflash;19;11;85
151;Serigraphie DEK;Serigraphie DEK;1;12;63
152;Lazer;Lazer;2;12;1
153;Cyber-Optics;Cyber-Optics;3;12;3
154;Insertion  Busber;Insertion  Busber;4;12;86
155;Insertion Automatique ;Insertion Automatique ;5;12;4
156;P&P Yamaha;P&P Yamaha;6;12;77
157;Reflow;Reflow;7;12;6
158;AOI OMRON;AOI OMRON;8;12;7
159;ICT test;ICT test;9;12;13
160;Coating;Coating;10;12;15
161;Control Coating;Control Coating;11;12;58
162;Depaneling;Depaneling;12;12;66
163;Manual Fuse Insertion;Manual Fuse Insertion;13;12;72
164;ASSEMBLAGE;ASSEMBLAGE;14;12;87
165;TEST SANDWISH;TEST SANDWISH;15;12;80
166;FKT;FKT;16;12;31
167;Shipping Client;Shipping Client;18;12;57
168;Lazer;Lazer;1;13;1
169;Serigraphie DEK;Serigraphie DEK;2;13;63
170;Cyber-Optics;Cyber-Optics;3;13;3
171;P&P Panasonic;P&P Panasonic;4;13;5
172;Reflow;Reflow;5;13;6
173;AOI IPTE;AOI IPTE;6;13;88
174;connecteur insertion;connecteur insertion;7;14;89
175;AOI OMRON;AOI OMRON;8;14;7
176;ICT test;ICT test;9;14;13
177;Depaneling;Depaneling;10;14;66
178;Edge Coating;Edge Coating;11;14;90
179;Cover Assy ;Cover Assy ;12;14;71
180;FKT;FKT;13;14;31
181;Label printing;Label printing;14;14;91
182;Bracket Assembly;Bracket Assembly;15;14;92
183;Packaging;Packaging;16;14;61
184;Shipping Client;Shipping Client;17;14;57
185;Lazer;Lazer;1;15;1
186;Cyber-Optics;Cyber-Optics;2;15;3
187;P&P Panasonic;P&P Panasonic;3;15;5
188;Reflow;Reflow;4;15;6
189; AOI ; AOI ;5;15;93
190;ICT test;ICT test;6;15;13
191;X-RAY;X-RAY;7;15;81
192;Coating;Coating;8;15;15
193;Control Coating;Control Coating;9;15;58
194;Screwing Shunt;Screwing Shunt;10;15;94
195;Selective  Soldering;Selective  Soldering;11;15;95
196;Rooter;Rooter;13;15;60
197;Shipping Client;Shipping Client;14;15;57
198;Beinding ;Beinding ;1;16;96
199;Automatic shunt soldring(roobot)  / control camera;Automatic shunt soldring(roobot)  / control camera;2;16;97
200;ASSEMBLAGE 1;ASSEMBLAGE 1;3;16;98
201;ASSEMBLAGE 2;ASSEMBLAGE 2;3;16;99
202;ASSEMBLAGE 3;ASSEMBLAGE 3;3;16;100
203;ASSEMBLAGE 4;ASSEMBLAGE 4;3;16;101
204;ASSEMBLAGE 5;ASSEMBLAGE 5;3;16;102
205;FKT;FKT;4;16;31
206;AOI OMRON;AOI OMRON;5;16;7
207;Shaker test;Shaker test;6;16;103
208;Shipping Client;Shipping Client;7;16;57
209;Vissage Connecteur;Vissage Connecteur;8;16;104
210;Wave Soldering;Wave Soldering;9;16;105
211;KAPTON Preparation;KAPTON Preparation;11;16;106
212;Lazer;Lazer;1;17;1
213;Serigraphie DEK;Serigraphie DEK;2;17;63
214;Cyber-Optics;Cyber-Optics;3;17;3
215;Insertion Manuelle;Insertion Manuelle;4;17;67
216;P&P Panasonic;P&P Panasonic;5;17;5
217;Reflow;Reflow;6;17;6
218;AOI MODUS;AOI MODUS;7;17;12
219;ICT test;ICT test;8;17;13
220;Coating;Coating;9;17;15
221;Control Coating;Control Coating;10;17;58
222;X-RAY;X-RAY;11;17;81
223;PRESS-FIT;PRESS-FIT;12;17;68
224;Depaneling;Depaneling;13;17;66
225;Houssing;Houssing;14;17;82
226;Climatic Chamber;Climatic Chamber;15;17;83
227;FKT;FKT;16;17;31
228;Labeling;Labeling;17;17;84
229;Shipping Client;Shipping Client;18;17;57
230;Reflash;Reflash;19;17;85
231;Insertion Short Pin;Insertion Short Pin;1;18;107
232;SOUDAGE Short pin ;SOUDAGE Short pin ;2;18;108
233;Insertion Automatique ;Insertion Automatique ;3;18;4
234;Cambrage;Cambrage;4;18;109
235;Insertion Manuelle;Insertion Manuelle;5;18;67
236;AOI OMRON;AOI OMRON;9;18;7
237;ICT test;ICT test;10;18;13
238;Insertion Long Pin ;Insertion Long Pin ;11;18;110
239;SOUDAGE Long pin;SOUDAGE Long pin;12;18;111
240;Poka-Yoke;Poka-Yoke;13;18;112
241;Selective Edges;Selective Edges;14;18;113
242;Cover Assy ;Cover Assy ;15;18;71
243;Manual Fuse Insertion;Manual Fuse Insertion;16;18;72
244;Shipping Client;Shipping Client;17;18;57
245;Preparation Cambrage;Preparation Cambrage;18;18;74
246;Lazer;Lazer;1;19;1
247;Serigraphie DEK;Serigraphie DEK;2;19;63
248;Cyber-Optics;Cyber-Optics;3;19;3
249;P&P Panasonic;P&P Panasonic;4;19;5
250;Lazpuir Plus 13;Lazpuir Plus 13;5;19;114
251;AOI MODUS;AOI MODUS;6;19;12
252;Insertion  Grouping;Insertion  Grouping;7;19;115
253;Reflow;Reflow;8;19;6
254;Bartec;Bartec;10;19;116
